Thu May 15 19:54:47 2025    /Users/nicole.r.frank/Breast-Cancer-Classification---SE489/reports/profiling/run.prof

         1410713 function calls (1379404 primitive calls) in 1.386 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.005    0.002 managers.py:459(get_values_for_csv)
        1    0.000    0.000    0.005    0.005 _least_angle.py:1(<module>)
      522    0.005    0.000    0.005    0.000 {method 'astype' of 'numpy.ndarray' objects}
     9540    0.005    0.000    0.005    0.000 {method 'splitlines' of 'str' objects}
        5    0.000    0.000    0.005    0.001 blocks.py:775(get_values_for_csv)
        1    0.000    0.000    0.005    0.005 message.py:1(<module>)
        3    0.000    0.000    0.005    0.002 ops.py:1(<module>)
     9605    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.005    0.005 _memmapping_reducer.py:1(<module>)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
        1    0.000    0.000    0.005    0.005 parser_block.py:1(<module>)
     6983    0.002    0.000    0.005    0.000 typing.py:1320(__setattr__)
        1    0.000    0.000    0.005    0.005 _show_versions.py:1(<module>)
        4    0.000    0.000    0.005    0.001 _classification.py:1628(precision_recall_fscore_support)
      114    0.000    0.000    0.004    0.000 generic.py:6432(dtypes)
        1    0.000    0.000    0.004    0.004 take.py:1(<module>)
     2572    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        2    0.000    0.000    0.004    0.002 resource_tracker.py:1(<module>)
        1    0.000    0.000    0.004    0.004 string_.py:1(<module>)
        2    0.000    0.000    0.004    0.002 scope.py:1(<module>)
        1    0.000    0.000    0.004    0.004 string.py:28(to_string)
        1    0.000    0.000    0.004    0.004 string.py:40(_get_string_representation)
        1    0.000    0.000    0.004    0.004 npyio.py:1(<module>)
        1    0.000    0.000    0.004    0.004 parse_link_destination.py:1(<module>)
        1    0.000    0.000    0.004    0.004 frame.py:509(DataFrame)
     1497    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1602(_get_spec)
       50    0.000    0.000    0.004    0.000 dataclasses.py:528(_init_fn)
        2    0.000    0.000    0.004    0.002 construction.py:1(<module>)
    11523    0.002    0.000    0.004    0.000 _parser.py:261(get)
        1    0.000    0.000    0.004    0.004 _supervised.py:1(<module>)
        6    0.000    0.000    0.004    0.001 frame.py:694(__init__)
        4    0.000    0.000    0.004    0.001 ssl.py:461(__new__)
        4    0.004    0.001    0.004    0.001 {built-in method _ssl.txt2obj}
        3    0.000    0.000    0.004    0.001 basic.py:1(<module>)
      168    0.000    0.000    0.004    0.000 typing.py:723(Optional)
        5    0.000    0.000    0.004    0.001 validation.py:2835(validate_data)
        1    0.000    0.000    0.004    0.004 _polynomial.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _indexing.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _scorer.py:1(<module>)
        6    0.000    0.000    0.004    0.001 construction.py:423(dict_to_mgr)
        1    0.000    0.000    0.004    0.004 _measurements.py:1(<module>)
        1    0.000    0.000    0.004    0.004 completion.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _sag.py:1(<module>)
        1    0.000    0.000    0.004    0.004 masked.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _npyio_impl.py:1(<module>)
      125    0.000    0.000    0.004    0.000 typing.py:506(__getitem__)
  2880/74    0.002    0.000    0.004    0.000 copy.py:128(deepcopy)
      419    0.001    0.000    0.004    0.000 inspect.py:2037(_signature_bound_method)
    52098    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.004    0.004 _ndbspline.py:1(<module>)
      553    0.001    0.000    0.004    0.000 inspect.py:3023(replace)
        1    0.000    0.000    0.004    0.004 extmath.py:1(<module>)
   154/73    0.001    0.000    0.004    0.000 copy.py:227(_deepcopy_dict)
        1    0.000    0.000    0.004    0.004 events.py:1(<module>)
        2    0.000    0.000    0.004    0.002 categorical.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _kdtree.py:1(<module>)
        1    0.000    0.000    0.004    0.004 uarray.py:1(<module>)
    16202    0.003    0.000    0.004    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.004    0.004 hmac.py:1(<module>)
       34    0.001    0.000    0.004    0.000 typing.py:2910(__new__)
        1    0.000    0.000    0.004    0.004 _csr.py:1(<module>)
      270    0.000    0.000    0.004    0.000 _decorators.py:387(<listcomp>)
        1    0.000    0.000    0.004    0.004 generic.py:244(NDFrame)
        2    0.000    0.000    0.003    0.002 _backend.py:1(<module>)
     1267    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
     1286    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        1    0.000    0.000    0.003    0.003 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.003    0.003 lsq_linear.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
        1    0.000    0.000    0.003    0.003 asserters.py:1(<module>)
      108    0.000    0.000    0.003    0.000 typing.py:729(Literal)
       33    0.000    0.000    0.003    0.000 doccer.py:289(decorate)
        1    0.000    0.000    0.003    0.003 _kde.py:1(<module>)
        3    0.000    0.000    0.003    0.001 numeric.py:1(<module>)
       70    0.000    0.000    0.003    0.000 typing.py:1397(__or__)
        1    0.000    0.000    0.003    0.003 array_ops.py:1(<module>)
        2    0.000    0.000    0.003    0.002 _internal.py:1(<module>)
     1194    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.003    0.003 _rbfinterp.py:1(<module>)
        2    0.000    0.000    0.003    0.002 pickle.py:1(<module>)
