Thu May 15 19:49:52 2025    /Users/nicole.r.frank/Breast-Cancer-Classification---SE489/reports/profiling/train.prof

         1350575 function calls (1320336 primitive calls) in 1.430 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2781    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      132    0.000    0.000    0.005    0.000 _distn_infrastructure.py:674(__init__)
     6997    0.002    0.000    0.005    0.000 typing.py:1320(__setattr__)
     9608    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.005    0.005 _psosx.py:1(<module>)
        1    0.000    0.000    0.005    0.005 readers.py:583(_read)
        2    0.000    0.000    0.005    0.002 construction.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _indexing.py:1(<module>)
        1    0.000    0.000    0.005    0.005 string_.py:1(<module>)
        1    0.000    0.000    0.004    0.004 frame.py:509(DataFrame)
        1    0.000    0.000    0.004    0.004 npyio.py:1(<module>)
        1    0.000    0.000    0.004    0.004 train.py:22(create_test_train_split)
        2    0.000    0.000    0.004    0.002 _helper.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _target_encoder.py:1(<module>)
        1    0.000    0.000    0.004    0.004 extmath.py:1(<module>)
      169    0.000    0.000    0.004    0.000 typing.py:723(Optional)
    11512    0.002    0.000    0.004    0.000 _parser.py:261(get)
     1493    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1602(_get_spec)
        3    0.000    0.000    0.004    0.001 process.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _measurements.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _supervised.py:1(<module>)
       50    0.000    0.000    0.004    0.000 dataclasses.py:528(_init_fn)
        1    0.000    0.000    0.004    0.004 _polynomial.py:1(<module>)
        2    0.000    0.000    0.004    0.002 categorical.py:1(<module>)
        1    0.000    0.000    0.004    0.004 parse_link_destination.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _scorer.py:1(<module>)
        1    0.000    0.000    0.004    0.004 asserters.py:1(<module>)
        1    0.000    0.000    0.004    0.004 getpass.py:1(<module>)
     1587    0.003    0.000    0.004    0.000 inspect.py:2955(__init__)
        1    0.000    0.000    0.004    0.004 masked.py:1(<module>)
     2564    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.004    0.004 completion.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _sag.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _ndbspline.py:1(<module>)
    52115    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.004    0.004 _npyio_impl.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _kdtree.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _csr.py:1(<module>)
        2    0.000    0.000    0.004    0.002 scope.py:1(<module>)
  2877/73    0.002    0.000    0.004    0.000 copy.py:128(deepcopy)
        1    0.000    0.000    0.004    0.004 uarray.py:1(<module>)
        1    0.000    0.000    0.004    0.004 array_ops.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _dtype_like.py:1(<module>)
